date	max	min	mean	stdev
1	197.00	124.00	163.26	163.81
2	198.00	124.00	164.47	171.54
3	206.00	126.00	166.43	198.63
4	220.00	132.00	169.16	216.52
5	225.00	133.00	169.81	239.55
6	225.00	142.00	170.76	253.05
7	225.00	140.00	170.60	233.10
8	225.00	128.00	168.34	214.89
9	225.00	128.00	171.03	259.49
10	225.00	142.00	171.40	222.60
11	225.00	132.00	170.97	254.54
12	225.00	132.00	171.40	296.41
13	225.00	131.00	172.91	282.33
14	225.00	142.00	174.05	231.80
15	225.00	143.00	175.90	241.23
16	225.00	142.00	174.88	199.85
17	225.00	132.00	177.12	254.43
18	225.00	139.00	178.65	259.81
19	225.00	144.00	176.99	239.97
20	225.00	142.00	175.44	213.85
21	225.00	142.00	176.59	203.70
22	228.00	146.00	176.49	209.28
23	228.00	141.00	175.49	238.68
24	228.00	137.00	176.72	255.34
25	232.00	142.00	174.97	275.81
26	240.00	123.00	177.84	342.05
27	240.00	142.00	180.38	363.29
28	240.00	132.00	179.49	374.44
29	240.00	130.00	179.23	320.94
30	243.00	145.00	179.46	324.91
31	243.00	145.00	180.54	323.70
32	243.00	145.00	178.95	291.44
33	243.00	142.00	180.50	343.19
34	243.00	142.00	178.99	347.79
35	243.00	143.00	178.32	328.19
36	244.00	143.00	177.96	343.31
37	244.00	147.00	179.43	339.47
38	244.00	145.00	181.03	349.00
39	244.00	140.00	180.61	317.77
40	244.00	140.00	179.08	341.70
41	244.00	142.00	179.38	342.12
42	249.00	141.00	177.90	330.95
43	249.00	142.00	177.96	317.17
44	249.00	137.00	178.28	348.54
45	249.00	145.00	177.96	320.06
46	249.00	146.00	180.36	356.10
47	249.00	138.00	183.66	518.63
48	249.00	144.00	184.85	438.02
49	254.00	147.00	185.16	407.18
50	254.00	147.00	185.53	411.16
51	254.00	151.00	184.92	416.38
52	254.00	146.00	183.99	388.73
53	254.00	153.00	184.02	382.28
54	254.00	150.00	184.19	314.83
55	254.00	149.00	183.91	329.29
56	254.00	151.00	185.75	270.68
57	254.00	137.00	183.38	267.36
58	254.00	142.00	183.25	314.85
59	254.00	149.00	183.97	358.50
60	254.00	147.00	182.90	293.98
61	254.00	150.00	182.11	290.02
62	254.00	151.00	182.36	349.53
63	257.00	145.00	184.00	425.20
64	261.00	145.00	182.75	507.60
65	261.00	142.00	183.12	450.17
66	261.00	151.00	182.71	369.02
67	261.00	147.00	183.08	390.83
68	261.00	145.00	180.46	346.80
69	261.00	130.00	184.78	398.09
70	261.00	147.00	186.29	403.08
71	261.00	146.00	184.90	379.81
72	261.00	142.00	185.38	303.79
73	261.00	144.00	184.86	317.41
74	261.00	148.00	185.66	373.99
75	261.00	148.00	185.25	465.98
76	261.00	153.00	187.92	437.66
77	261.00	152.00	188.05	451.05
78	261.00	141.00	187.28	431.86
79	261.00	135.00	190.73	508.66
80	261.00	135.00	190.09	448.19
81	261.00	146.00	190.96	489.46
82	261.00	147.00	190.91	464.26
83	261.00	149.00	191.95	458.96
84	261.00	140.00	192.74	450.24
85	261.00	155.00	193.31	423.08
86	261.00	156.00	191.70	362.57
87	261.00	155.00	193.87	465.45
88	261.00	156.00	191.43	360.83
89	261.00	147.00	192.16	437.38
90	261.00	156.00	193.66	442.09
91	261.00	149.00	194.66	461.56
92	261.00	149.00	193.04	396.16
93	266.00	162.00	194.94	356.17
94	266.00	159.00	196.10	318.90
95	266.00	158.00	195.66	380.67
96	266.00	155.00	195.47	356.25
97	266.00	161.00	194.65	291.04
98	267.00	152.00	193.42	335.88
99	267.00	138.00	191.75	390.81
100	267.00	144.00	192.84	369.46
101	267.00	146.00	194.03	338.44
102	267.00	152.00	192.59	306.38
103	267.00	152.00	193.06	358.08
104	267.00	157.00	195.18	420.69
105	267.00	157.00	194.72	296.13
106	267.00	157.00	197.00	336.76
107	267.00	158.00	196.44	256.13
108	267.00	158.00	194.03	281.29
109	267.00	158.00	191.59	281.08
110	272.00	148.00	191.42	340.77
111	272.00	155.00	192.31	367.77
112	272.00	155.00	192.53	304.44
113	272.00	159.00	194.99	412.24
114	272.00	159.00	196.88	446.20
115	272.00	161.00	197.19	357.20
116	272.00	160.00	197.52	318.37
117	272.00	151.00	196.01	299.46
118	272.00	159.00	197.06	405.91
119	272.00	157.00	196.97	430.27
120	272.00	155.00	195.41	384.81
121	272.00	149.00	195.31	365.78
122	272.00	161.00	194.78	354.29
123	272.00	149.00	197.28	405.23
124	272.00	156.00	196.38	340.90
125	272.00	157.00	193.71	325.21
126	272.00	158.00	193.90	354.75
127	272.00	160.00	197.43	389.19
128	272.00	160.00	198.69	432.91
129	272.00	161.00	201.59	559.47
130	272.00	153.00	206.54	669.36
131	272.00	152.00	207.18	630.95
132	281.00	157.00	208.81	650.00
133	281.00	154.00	205.90	513.19
134	281.00	164.00	202.64	424.48
